nav_date,nav_value,scheme_code
2025-01-17,101305,50.2887
2025-01-18,101305,50.2887
2025-01-19,101305,50.2887
2025-01-20,101305,50.4719
2025-01-21,101305,49.818
2025-01-22,101305,49.1708
2025-01-23,101305,48.6347
2025-01-24,101305,48.7333
2025-01-25,101305,48.7333
2025-01-26,101305,48.7333
2025-01-27,101305,48.9465
2025-01-28,101305,48.7945
2025-01-29,101305,48.7303
2025-01-30,101305,48.922
2025-01-31,101305,48.5657
2025-02-01,101305,48.5657
2025-02-02,101305,48.5657
2025-02-03,101305,48.5127
2025-02-04,101305,48.3693
2025-02-05,101305,47.8666
2025-02-06,101305,48.1107
2025-02-07,101305,47.8861
2025-02-08,101305,47.8861
2025-02-09,101305,47.8861
2025-02-10,101305,47.1095
2025-02-11,101305,47.0184
2025-02-12,101305,46.6971
2025-02-13,101305,47.2892
2025-02-14,101305,47.7158
2025-02-15,101305,47.7158
2025-02-16,101305,47.7158
2025-02-17,101305,48.0844
2025-02-18,101305,48.3963
2025-02-19,101305,48.0664
2025-02-20,101305,47.4875
2025-02-21,101305,47.9326
2025-02-22,101305,47.9326
2025-02-23,101305,47.9326
2025-02-24,101305,48.2632
2025-02-25,101305,47.7611
2025-02-26,101305,47.6329
2025-02-27,101305,47.5969
2025-02-28,101305,47.8477
2025-03-01,101305,47.8477
2025-03-02,101305,47.8477
2025-03-03,101305,47.9973
2025-03-04,101305,47.4843
2025-03-05,101305,47.7822
2025-03-06,101305,47.6943
2025-03-07,101305,48.1282
2025-03-08,101305,48.1282
2025-03-09,101305,48.1282
2025-03-10,101305,48.0848
2025-03-11,101305,48.3012
2025-03-12,101305,48.1025
2025-03-13,101305,48.1434
2025-03-14,101305,47.707
2025-03-15,101305,47.707
2025-03-16,101305,47.707
2025-03-17,101305,48.1186
2025-03-18,101305,47.909
2025-03-19,101305,48.5614
2025-03-20,101305,48.4848
2025-03-21,101305,48.3948
2025-03-22,101305,48.3948
2025-03-23,101305,48.3948
2025-03-24,101305,48.3688
2025-03-25,101305,48.2957
2025-03-26,101305,48.4465
2025-03-27,101305,48.91
2025-03-28,101305,49.1975
2025-03-29,101305,49.1975
2025-03-30,101305,49.1975
2025-03-31,101305,48.7727
2025-04-01,101305,48.878
2025-04-02,101305,49.0159
2025-04-03,101305,49.233
2025-04-04,101305,48.8713
2025-04-05,101305,48.8713
2025-04-06,101305,48.8713
2025-04-07,101305,48.6774
2025-04-08,101305,48.9571
2025-04-09,101305,49.2481
2025-04-10,101305,48.9332
2025-04-11,101305,49.0925
2025-04-12,101305,49.0925
2025-04-13,101305,49.0925
2025-04-14,101305,49.2525
2025-04-15,101305,49.9207
2025-04-16,101305,49.9963
2025-04-17,101305,50.0069
2025-04-18,101305,49.5508
2025-04-19,101305,49.5508
2025-04-20,101305,49.5508
2025-04-21,101305,49.8507
2025-04-22,101305,49.9069
2025-04-23,101305,50.0285
2025-04-24,101305,50.3283
2025-04-25,101305,50.1549
2025-04-26,101305,50.1549
2025-04-27,101305,50.1549
2025-04-28,101305,50.0695
2025-04-29,101305,49.8326
2025-04-30,101305,50.235
2025-05-01,101305,50.3183
2025-05-02,101305,50.1359
2025-05-03,101305,50.1359
2025-05-04,101305,50.1359
2025-05-05,101305,50.5043
2025-05-06,101305,50.6517
2025-05-07,101305,50.5157
2025-05-08,101305,50.6489
2025-05-09,101305,50.9715
2025-05-10,101305,50.9715
2025-05-11,101305,50.9715
2025-05-12,101305,51.0328
2025-05-13,101305,51.1866
2025-05-14,101305,51.0974
2025-05-15,101305,50.4847
2025-05-16,101305,50.9422
2025-05-17,101305,50.9422
2025-05-18,101305,50.9422
2025-05-19,101305,51.1938
2025-05-20,101305,51.4454
2025-05-21,101305,51.9371
2025-05-22,101305,52.271
2025-05-23,101305,51.7882
2025-05-24,101305,51.7882
2025-05-25,101305,51.7882
2025-05-26,101305,51.6627
2025-05-27,101305,52.0192
2025-05-28,101305,52.4181
2025-05-29,101305,52.6575
2025-05-30,101305,51.7204
2025-05-31,101305,51.7204
2025-06-01,101305,51.7204
2025-06-02,101305,51.4043
2025-06-03,101305,51.3078
2025-06-04,101305,51.0541
2025-06-05,101305,51.1685
2025-06-06,101305,50.3651
2025-06-07,101305,50.3651
2025-06-08,101305,50.3651
2025-06-09,101305,50.1247
2025-06-10,101305,49.5799
2025-06-11,101305,49.9352
2025-06-12,101305,49.6433
2025-06-13,101305,49.3653
2025-06-14,101305,49.3653
2025-06-15,101305,49.3653
2025-06-16,101305,49.824
2025-06-17,101305,49.6512
2025-06-18,101305,49.6385
2025-06-19,101305,49.2373
2025-06-20,101305,49.4721
2025-06-21,101305,49.4721
2025-06-22,101305,49.4721
2025-06-23,101305,49.1116
2025-06-24,101305,49.4547
2025-06-25,101305,49.1613
